Area,Ethnic groups (detailed),Age group,Sex,Value,Flags
"Northland Region","European Only","0-4 Years","Male",2019,
"Northland Region","European Only","0-4 Years","Female",1842,
"Northland Region","Maori Only","0-4 Years","Male",1098,
"Northland Region","Maori Only","0-4 Years","Female",1026,
"Northland Region","Pacific Peoples Only","0-4 Years","Male",63,
"Northland Region","Pacific Peoples Only","0-4 Years","Female",60,
"Northland Region","Asian Only","0-4 Years","Male",96,
"Northland Region","Asian Only","0-4 Years","Female",87,
"Northland Region","Middle Eastern/Latin American/African Only","0-4 Years","Male",12,
"Northland Region","Middle Eastern/Latin American/African Only","0-4 Years","Female",9,
"Northland Region","Other Ethnicity Only","0-4 Years","Male",51,
"Northland Region","Other Ethnicity Only","0-4 Years","Female",51,
"Northland Region","European/Maori","0-4 Years","Male",1221,
"Northland Region","European/Maori","0-4 Years","Female",1191,
"Northland Region","European/Pacific Peoples","0-4 Years","Male",60,
"Northland Region","European/Pacific Peoples","0-4 Years","Female",63,
"Northland Region","European/Asian","0-4 Years","Male",33,
"Northland Region","European/Asian","0-4 Years","Female",33,
"Northland Region","European/Middle Eastern/Latin American/African","0-4 Years","Male",6,
"Northland Region","European/Middle Eastern/Latin American/African","0-4 Years","Female",15,
"Northland Region","European/Other Ethnicity","0-4 Years","Male",3,
"Northland Region","European/Other Ethnicity","0-4 Years","Female",3,
"Northland Region","Maori/Pacific Peoples","0-4 Years","Male",111,
"Northland Region","Maori/Pacific Peoples","0-4 Years","Female",117,
"Northland Region","Maori/Asian","0-4 Years","Male",9,
"Northland Region","Maori/Asian","0-4 Years","Female",9,
"Northland Region","Maori/Middle Eastern/Latin American/African","0-4 Years","Male",3,
"Northland Region","Maori/Middle Eastern/Latin American/African","0-4 Years","Female",6,
"Northland Region","Maori/Other Ethnicity","0-4 Years","Male",3,
"Northland Region","Maori/Other Ethnicity","0-4 Years","Female",0,
"Northland Region","Pacific Peoples/Asian","0-4 Years","Male",3,
"Northland Region","Pacific Peoples/Asian","0-4 Years","Female",0,
"Northland Region","Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Male",0,
"Northland Region","Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Northland Region","Pacific Peoples/Other Ethnicity","0-4 Years","Male",0,
"Northland Region","Pacific Peoples/Other Ethnicity","0-4 Years","Female",0,
"Northland Region","Asian/Middle Eastern/Latin American/African","0-4 Years","Male",3,
"Northland Region","Asian/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Northland Region","Asian/Other Ethnicity","0-4 Years","Male",0,
"Northland Region","Asian/Other Ethnicity","0-4 Years","Female",0,
"Northland Region","Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Northland Region","Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Northland Region","European/Maori/Pacific Peoples","0-4 Years","Male",129,
"Northland Region","European/Maori/Pacific Peoples","0-4 Years","Female",135,
"Northland Region","European/Maori/Asian","0-4 Years","Male",18,
"Northland Region","European/Maori/Asian","0-4 Years","Female",21,
"Northland Region","European/Maori/Middle Eastern/Latin American/African","0-4 Years","Male",3,
"Northland Region","European/Maori/Middle Eastern/Latin American/African","0-4 Years","Female",6,
