region,ethnicity,pop,region_short_name
Northland,Asian,3093,NTL
Northland,Asian/European/Other Ethnicity,6,NTL
Northland,Asian/MELAA,3,NTL
Northland,Asian/Other Ethnicity,9,NTL
Northland,Asian/Pacific Peoples/Other Ethnicity,3,NTL
Northland,European,85398,NTL
Northland,European/Asian,300,NTL
Northland,European/Maori,16788,NTL
Northland,European/Maori/Asian,204,NTL
Northland,European/Maori/MELAA,54,NTL
Northland,European/Maori/Other Ethnicity,72,NTL
Northland,European/Maori/Pacific Peoples,1062,NTL
Northland,European/MELAA,84,NTL
Northland,European/MELAA/Other Ethnicity,3,NTL
Northland,European/Other Ethnicity,159,NTL
Northland,European/Pacific Peoples,816,NTL
Northland,Five ethnic groups,12,NTL
Northland,Four ethnic groups,69,NTL
Northland,Maori,25368,NTL
Northland,Maori/Asian,117,NTL
Northland,Maori/Asian/MELAA,6,NTL
Northland,Maori/MELAA,27,NTL
Northland,Maori/Other Ethnicity,33,NTL
Northland,Maori/Pacific Peoples,1092,NTL
Northland,Maori/Pacific Peoples/Asian,30,NTL
Northland,Maori/Pacific Peoples/MELAA,6,NTL
Northland,MELAA,351,NTL
Northland,Not Elsewhere Included,12855,NTL
Northland,Other,2241,NTL
Northland,Pacific Peoples,1320,NTL
Northland,Pacific Peoples/Asian,30,NTL
Northland,Pacific Peoples/European/Asian,36,NTL
Northland,Pacific Peoples/Maori/Other Ethnicity,3,NTL
Auckland,Asian,287649,AUK
Auckland,Asian/European/Other Ethnicity,72,AUK
Auckland,Asian/MELAA,303,AUK
Auckland,Asian/MELAA/European,57,AUK
Auckland,Asian/Other Ethnicity,720,AUK
Auckland,Asian/Pacific Peoples/MELAA,15,AUK
Auckland,Asian/Pacific Peoples/Other Ethnicity,9,AUK
Auckland,European,681747,AUK
Auckland,European/Asian,9297,AUK
Auckland,European/Maori,59454,AUK
Auckland,European/Maori/Asian,1842,AUK
Auckland,European/Maori/MELAA,318,AUK
Auckland,European/Maori/Other Ethnicity,216,AUK
Auckland,European/Maori/Pacific Peoples,10446,AUK
Auckland,European/MELAA,1848,AUK
Auckland,European/MELAA/Other Ethnicity,15,AUK
Auckland,European/Other Ethnicity,1290,AUK
Auckland,European/Pacific Peoples,20325,AUK
Auckland,Five ethnic groups,27,AUK
Auckland,Four ethnic groups,957,AUK
Auckland,Maori,55722,AUK
