area,ethnicity,age_group,sex,value
Northland,European,0-4,M,2019
Northland,European,0-4,F,1842
Northland,Maori,0-4,M,1098
Northland,Maori,0-4,F,1026
Northland,Pacific Peoples,0-4,M,63
Northland,Pacific Peoples,0-4,F,60
Northland,Asian,0-4,M,96
Northland,Asian,0-4,F,87
Northland,MELAA,0-4,M,12
Northland,MELAA,0-4,F,9
Northland,Other,0-4,M,51
Northland,Other,0-4,F,51
Northland,European/Maori,0-4,M,1221
Northland,European/Maori,0-4,F,1191
Northland,European/Pacific Peoples,0-4,M,60
Northland,European/Pacific Peoples,0-4,F,63
Northland,European/Asian,0-4,M,33
Northland,European/Asian,0-4,F,33
Northland,European/MELAA,0-4,M,6
Northland,European/MELAA,0-4,F,15
Northland,European/Other Ethnicity,0-4,M,3
Northland,European/Other Ethnicity,0-4,F,3
Northland,Maori/Pacific Peoples,0-4,M,111
Northland,Maori/Pacific Peoples,0-4,F,117
Northland,Maori/Asian,0-4,M,9
Northland,Maori/Asian,0-4,F,9
Northland,Maori/MELAA,0-4,M,3
Northland,Maori/MELAA,0-4,F,6
Northland,Maori/Other Ethnicity,0-4,M,3
Northland,Pacific Peoples/Asian,0-4,M,3
Northland,Asian/MELAA,0-4,M,3
Northland,European/Maori/Pacific Peoples,0-4,M,129
Northland,European/Maori/Pacific Peoples,0-4,F,135
Northland,European/Maori/Asian,0-4,M,18
Northland,European/Maori/Asian,0-4,F,21
Northland,European/Maori/MELAA,0-4,M,3
Northland,European/Maori/MELAA,0-4,F,6
Northland,Pacific Peoples/European/Asian,0-4,F,3
Northland,Maori/Pacific Peoples/Asian,0-4,M,3
Northland,Maori/Pacific Peoples/Asian,0-4,F,6
Northland,Maori/Pacific Peoples/MELAA,0-4,M,3
Northland,Maori/Pacific Peoples/MELAA,0-4,F,3
Northland,Four ethnic groups,0-4,M,3
Northland,Four ethnic groups,0-4,F,6
Northland,Five ethnic groups,0-4,M,3
Northland,Not Elsewhere Included,0-4,M,495
Northland,Not Elsewhere Included,0-4,F,501
Auckland,European,0-4,M,19113
Auckland,European,0-4,F,18108
Auckland,Maori,0-4,M,2004
Auckland,Maori,0-4,F,1860
Auckland,Pacific Peoples,0-4,M,7245
Auckland,Pacific Peoples,0-4,F,6819
Auckland,Asian,0-4,M,9171
Auckland,Asian,0-4,F,8649
Auckland,MELAA,0-4,M,765
Auckland,MELAA,0-4,F,735
Auckland,Other,0-4,M,435
Auckland,Other,0-4,F,399
Auckland,European/Maori,0-4,M,3696
Auckland,European/Maori,0-4,F,3486
Auckland,European/Pacific Peoples,0-4,M,1689
Auckland,European/Pacific Peoples,0-4,F,1587
Auckland,European/Asian,0-4,M,1230
Auckland,European/Asian,0-4,F,1221
Auckland,European/MELAA,0-4,M,213
